date,mode,size,count,ss_span,fs,before_img_size,after_img_size,diff_img_size,mean_write_bw
2024-12-27_20-47-14,seq,500k,100,1,ext3,176196,176700,504,516860579.840000
2024-12-27_20-47-14,seq,500k,100,2,ext3,176196,176700,504,511180800.000000
2024-12-27_20-47-14,seq,500k,100,4,ext3,176196,176700,504,517297479.680000
2024-12-27_20-47-14,seq,500k,100,200,ext3,176196,176700,504,517297479.680000
2024-12-27_20-47-14,seq,1000k,100,1,ext3,176196,177200,1004,1031798784.000000
2024-12-27_20-47-14,seq,1000k,100,2,ext3,176196,177200,1004,1027604480.000000
2024-12-27_20-47-14,seq,1000k,100,4,ext3,176196,177200,1004,1030225920.000000
2024-12-27_20-47-14,seq,1000k,100,200,ext3,176196,177200,1004,1022361600.000000
2024-12-27_20-47-14,seq,2000k,100,1,ext3,176196,178200,2004,2062199459.840000
2024-12-27_20-47-14,seq,2000k,100,2,ext3,176196,178200,2004,2051713699.840000
2024-12-27_20-47-14,seq,2000k,100,4,ext3,176196,178200,2004,2051713699.840000
2024-12-27_20-47-14,seq,2000k,100,200,ext3,176196,178200,2004,2062199459.840000
2024-12-27_20-47-14,seq,4000k,100,1,ext3,176196,180200,4004,2062834954.240000
2024-12-27_20-47-14,seq,4000k,100,2,ext3,176196,180200,4004,2055526696.960000
2024-12-27_20-47-14,seq,4000k,100,4,ext3,176196,180200,4004,2048536186.880000
2024-12-27_20-47-14,seq,4000k,100,200,ext3,176196,180200,4004,2048536186.880000
